SPA: Standard Peritoneal permeability Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Pig,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ear number pig:,2136,,,,,,,,,,Experimental notes: ,,,,,,,,,,,,,,,,,
Sex:,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight:,42.5,kg,,,,,,,,,,,,,,,,,,,,,,,,,,
Jugular katheter location,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD catheter:,Straight Tenckhoff,"Argyle, Covidien, Tenckhoff, 1 cuff, 47 cm",,,,,,,,,,,,,,,,,,,,,,,,,,
PD catheter REF:,,,,Use by:,,,,,,,,,,,,,,,,,,,,,,,,
PD catheter location:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Placement date PD catheter:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
storage,13.12,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temperature chip present?,yes,"38,3 C during experiment",38.6,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laboratory measurements:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plasma concentrations,,,,,,,,,,,,,,,,,,,,,,,,Costs lkch,,,,
Sample,,Sample volume,Time code,Actual time,,Urea,Creatinine,Sodium,Potassium,Albumin,Total protein,Phosphate,Glucose,Storage,Remarks,,,,,,,,,,,,,
,,mL,,,,mmol/L,µmol/L,mmol/L,mmol/L,g/L,g/L,mmol/L,mmol/L,,(text),,,,,,,,,,,,,
T=0,,5,00:00,07:51,,9.8,368,137,,25.9,56,2.74,6.4,,,,,,,,,,,16.1,,,,
T=120,,XXX,,,,,,,,,,,,,,,,,,,,,,,,,,
T=240,,5,04:00,12:35,,9.0,375,141,,25.6,54,2.82,6.0,,,,,,,,,,,11.78,,,,
Mean,,,,,,9.4,372,,4.1,,,2.8,,,,,,,,,,,,,,,,
Dialysate concentrations,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample,,Sample volume,Time code,Actual time,Blue dextran,Urea,Creatinine,Sodium,Potassium,Albumin,Total protein,Phosphate,Glucose,Storage,Remarks,Leukocytes,Neutrophils,D/P Urea,D/P Creatinine,D/P P,D/P K,D/D0 Glucose,D/P Na,,,,,
,,mL,,,g/L,mmol/L,µmol/L,mmol/L,mmol/L,g/L,g/L,mmol/L,mmol/L,,(text),x10^9/L,x10^9/L,,,,,,,,,,,
drain after PN 1.36% dwell of the previous SPA 1,,,00:01,08:12,0.060703463,9.6,291,,3.8,66,0.53,1.83,,,,"<0,1",,,,,,,,13.2,,,,
Fresh PD fluid for SPA (PN 1.36% + blue dextran),,,00:02,08:00,0.589310908,,,131,<1,,,,0.1,,,,,,,,,,,4.41,,,,
T=0,,6.5,00:03,08:30,0.412122954,1.9,53,,1.2,12,0.09,0.33,1.6,,,,,0.19,0.14,,,,,13.2,,,,
T=10,,5.2,00:11,08:40,0.412122954,2.3,59,131,,13,0.10,0.38,1.6,,,,,0.23,0.16,,,,#DIV/0!,16.06,,,,
T=20,,2.2,00:21,08:51,0.405750232,,,,,,,,,,,,,,,,,,,,,,,
T=30,,2.2,00:31,09:00,0.405881627,,,,,,,,,,,,,,,,,,,,,,,
T=60,,5.2,01:01,09:30,0.404304871,4.1,100,132,,17,0.13,0.59,2.2,,,,,0.44,0.27,,,,#DIV/0!,16.06,,,,
T=120,,3.2,02:01,10:31,0.39504143,5.2,131,,3,,,0.81,2.9,,,,,0.55,0.35,,,,,7.27,,,,
T=180,,3.2,03:01,11:31,0.389391389,4.9,102,,,,,0.97,3.6,,,,,0.52,,,,,,7.27,,,,
T=240,,7.2,04:01,12:40,0.384923913,6.8,185,131,3.6,27,0.27,1.14,4.4,,,"< 0,1",,0.76,0.49,0.40,0.88,,#DIV/0!,16.06,,,,
t=0 after second filling,,4.2,04:05,,0.447994153,,,,,4,0.07,,,,,,,,,,,,,8.91,,,,
,,34.9,04:05,,,,,,,,,X,2.9,,,,,,,,,,,130.32,,,,
,,,,,,,,,,,,%,0.05,0.08,,,,,,,,,,,,,,
Exchange scheme:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exchange,Solution,Volume bag (mL),Weight bag (g) before instillment,Weight bag after instillment (g),Volume instilled (mL),Weight drain bag (g),Weight empty drain bag (g),Drain volume (mL),Draining times,,,,,,,,,,,,,,,,,,,
Overnight dwell,Extraneal,2000,,,#DIV/0!,1825,75,1601,Out,07:50:00-8:04,,,,,,,,,,,,,,,,,,
SPA dwell,Extraneal,2000,2180,55,1932,2110,75,1850,In,08:08:00-8:29,Out,12:30:00,,,,,,,,,,,,,,,,
PD fluid for second spa,1.36% Physioneal,2000,2350,195,1959,2295,75,2018,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual volume calculation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RV before SPA (mL),RV after SPA (mL),IP volume T=0 (mL),IP volume T=240 (mL),Mean IPV (mL),,,,,,,,,,,,,,,,,,,,,,,
