SPA: Standard Peritoneal permeability Analysis,,,,,,,,,,,,,,,,,,,,,,,
Data Pig,,,,,,,,,,,,,,,,,,,,,,,
Animal,,,,,,,,,,,,,,,,,,,,,,,
Ear number pig:,2136,,,,,,,,,,Experimental notes: ,,,,,,,,,,,,
Sex:,F,,,,,,,,,,"Cloudy dialysate from night dwell, pig was not feeling very well",,,,,,,,,,,,
Weight:,42.5,kg,,,,,,,,,,,,,,,,,,,,,
Jugular katheter location,,,,,,,,,,,,,,,,,,,,,,,
PD catheter:,Straight Tenckhoff,"Argyle, Covidien, Tenckhoff, 1 cuff, 47 cm",,,,,,,,,,,,,,,,,,,,,
PD catheter REF:,,,,Use by:,,,,,,,,,,,,,,,,,,,
PD catheter location:,,,,,,,,,,,,,,,,,,,,,,,
Placement date PD catheter:,,,,,,,,,,,,,,,,,,,,,,,
storage,,,,,,,,,,,,,,,,,,,,,,,
Temperature chip present?,yes,"38,3 C during experiment",,38.9,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Laboratory measurements:,,,,,,,,,,,,,,,,,,,,,,,
Plasma concentrations,,,,,,,,,,,,,,,,,,,,,,,Costs lkch
Sample,Sample volume,Time code,Actual time,,Urea,Creatinine,Sodium,Potassium,Albumin,Total protein,Phosphate,Glucose,Storage,Remarks,,,,,,,,,
,mL,,,,mmol/L,µmol/L,mmol/L,mmol/L,g/L,g/L,mmol/L,mmol/L,,(text),,,,,,,,,
T=0,5,04:00,12:30,,9.4,356,138,,26.5,56,2.59,4.8,,,,,,,,,,,11.78
T=120,XXX,,,,,,,,,,,,,,,,,,,,,,
T=240,5,08:00,17:00,,8.4,348,138,,25.9,56,2.43,7,,,,,,,,,,,11.78
Mean,,,,,8.9,352,,3.5,,,2.5,,,,,,,,,,,,
Dialysate concentrations,,,,,,,,,,,,,,,,,,,,,,,
Sample,Sample volume,Time code,Actual time,Blue dextran,Urea,Creatinine,Sodium,Potassium,Albumin,Total protein,Phosphate,Glucose,Storage,Remarks,Leukocytes,Neutrophils,D/P Urea,D/P Creatinine,D/P P,D/P K,D/D0 Glucose,D/P Na,
,mL,,,g/L,mmol/L,µmol/L,mmol/L,mmol/L,g/L,g/L,mmol/L,mmol/L,,(text),x10^9/L,x10^9/L,,,,,,,
drain after PN 1.36% dwell of the previous SPA 1,,04:01,12:47,0.391740097,8.4,293,133,,146,1.43,1.95,,,,5.3,4.99,,,,,,,13.2
Fresh PD fluid for SPA (PN 1.36% + blue dextran),,04:03,12:10,0.484571606,,,131,<1,,,,0.1,,,,,,,,,,,4.41
T=0,6.2,04:05,12:58,0.475587382,1.1,34,130,0.5,12,0.12,0.2,2.446130767,,,,,0.12,0.1,,,,,13.2
T=10,5.2,04:11,13:07,0.468097792,2.2,64,130,,19,0.2,0.39,2.4,,,,,0.23,0.18,,,,#DIV/0!,16.06
T=20,2.2,04:21,13:17,0.471054209,,,,,,,,,,,,,,,,,,,
T=30,2.2,04:31,13:28,0.46277624,,,,,,,,,,,,,,,,,,,
T=60,5.2,05:01,13:58,0.459622728,4.6,139,132,,33,0.36,0.82,2.4,,,,,0.52,0.39,,,,#DIV/0!,16.06
T=120,3.2,06:01,14:59,0.45489246,6.3,193,,3,,,1.16,5.5,,,,,0.71,0.55,,,,,7.27
T=180,3.2,07:01,15:58,0.429861459,7.1,233,,,,,1.42,6.8,,,,,0.8,0.66,,,,,7.27
T=240,7.2,08:01,17:22,0.441884223,7.7,265,130,3,66,66,1.66,7.6,,,3.2,2.97,0.92,0.76,0.68,0.86,,#DIV/0!,16.06
PD effluent complete drain after rinsing,4.2,08:02,17:31,0.067798865,,,,,20,20,,,,,,,,,,,,,8.91
,34.6,,,,,,,,,,X,4.9,,,,,,,,,,,126
,,,,,,,,,,,,,,,,,,,,,,,
Exchange scheme:,,,,,,,,,,,%,0.09,0.04,,,,,,,,,,
Exchange,Solution,Volume bag (mL),Weight bag (g) before instillment,Weight bag after instillment (g),Volume instilled (mL),Weight drain bag (g),Weight empty drain bag (g),Drain volume (mL),Draining times,,,,,,,,,,,,,,
Preceding dwell ,Physioneal,2000,2350,205,1826,1705,75,1492,Out,00:00:00,,,,,,,,,,,,,
SPA dwell,Extraneal + blue dextran,2000,2180,50,1936,1940,75,1695,In,12:45:00-12:56,Out,16:57:00,,,,,,,,,,,
PD fluid for rinsing,Extraneal,2000,2185,1200,895,,75,-68,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Residual volume calculation:,,,,,,,,,,,,,,,,,,,,,,,
,RV before SPA (mL),RV after SPA (mL),IP volume T=0 (mL),IP volume T=240 (mL),Mean IPV (mL),,,,,,,,,,,,,,,,,,
[Creatinine],,,2114,2085,2099.3,2099,2099.228245,,,,,,,,,,,,,,,,
[Total protein],177,389,,,,6,,,,,,,,,,,,,,,,,
[Albumin],173,389,,,,,,,,,,,,,,,,,,,,,
[Dextran] ,207,162,,,,,,,,,,,,,,,,,,,,,
Mean,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
